Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,Current iteration,Current Algorithm,Gen/Epoch#,Indv #,X,Y
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,24,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,25,-4.9751,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,26,1.0686999999999998,0.10630970198372058,bestInCurrentpop
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,27,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,28,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,29,1.0914000000000001,0.22468393619367533
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,30,1.2108000000000008,2.2987789070041535
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,31,-9.7268,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,32,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,33,1.0853000000000002,0.17484939423281298
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,34,-1.9250000000000007,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,35,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,36,1.2797999999999998,1.8197943356488064
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,37,1.3811999999999998,0.7867017104635254
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,38,0.4015000000000004,0.7804804012616562
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,39,1.0932999999999993,0.24285712670026993
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,40,0.2797999999999998,1.095771102333929
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,41,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,42,1.0742999999999991,0.118425202529574
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,43,-0.7703000000000007,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,44,-1.9253999999999998,10.0
